UserAgent,Page Views
BBCBeacon/3.5 (iPad; iPhone OS 9.3.2) BBCNews/2.1.4,"44,224"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; MotoG3 Build/LPI23.72-47),"44,199"
Dalvik/1.6.0 (Linux; U; Android 4.2.2; ME173X Build/JDQ39),"44,069"
BBCBeacon/0.74b (Hudl 2; Android 4.4.2) news/2.5.5 UK,"43,761"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G925V Build/MMB29K),"43,724"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N910W8 Build/MMB29M),"43,413"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G900H Build/MMB29K),"43,127"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T813 Build/MMB29M),"42,915"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; Lenovo TAB 2 A10-70F Build/LRX21M),"42,822"
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SAMSUNG-SM-N910A Build/LMY47X),"42,587"
Dalvik/1.6.0 (Linux; U; Android 4.4.2; GT-I9505 Build/KOT49H),"42,502"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G925W8 Build/MMB29K),"42,195"
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N900 Build/LRX21V),"41,994"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-N920T Build/MMB29K),"41,829"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; F5121 Build/34.0.A.1.277),"41,802"
BBCNews/3.4.1.2 CFNetwork/758.3.15 Darwin/15.4.0,"41,782"
Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-T350 Build/MMB29M),"41,740"
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9515 Build/LRX22C),"41,696"
BBCBeacon/0.74b (SM-G900F; Android 5.0) news/2.5.5 UK,"41,661"
